"","03_months-Prkdc","03_months-Rag","03_months-WT","06_months-WT","12_months-WT","16_months-Prkdc","16_months-Rag","16_months-WT","23_months-WT","cell_type_id","pval_WT_03_06","qval_WT_03_06","pval_WT_06_12","qval_WT_06_12","pval_WT_12_16","qval_WT_12_16","pval_WT_16_23","qval_WT_16_23","pval_WT_03_16","qval_WT_03_16","pval_WT_06_23","qval_WT_06_23","qval_WT_03_16_corrected","qval_WT_06_23_corrected","LFC_16_over_03_WT","LFC_23_over_06_WT"
"1",5.23601329947378e-05,1.86679907539058e-05,1.09413978729923e-05,0.000106114428535776,2.98336560841414e-05,0.000129288492495674,0.000676880406788615,0,6.01451148990067e-05,"Adipocytes-0-Liver",1.01181529538783e-05,4.33320898242181e-05,0.513508439592469,0.665533964471818,0.0237084491533334,0.059879031835983,3.7330403977813e-09,5.88327166690333e-09,0.0425870488698644,0.0769692534620485,0.0248857385154738,0.0306405655471771,0.0809071475383435,0.0410021974422739,-3.5778998248226,-0.808843680768881
"2",3.4203688039188e-05,4.94773385365476e-05,9.15805362736214e-05,0.000188429757280349,0.000107246288061939,6.57748889404972e-05,8.25463910717823e-05,7.39917452490948e-05,8.97722231182795e-05,"Adipocytes-1-Liver",0.00295382336406657,0.00819581975663542,0.713818223290239,0.842049041845372,0.378523382013081,0.529045350843153,0.0911243282608625,0.102682956489017,0.658422299502049,0.790909713426242,0.990989831763859,0.990989831763859,0.747092008900431,0.999564660787855,-0.303977120451592,-1.061340183505
"3",0.000153443089058762,6.78178717149094e-05,0.000105803519975017,0.000143982428961056,4.09295323397923e-05,2.97854300600927e-05,5.50309273811882e-06,0,0.000103539991991323,"Adipocytes-2-Liver",0.983213304385801,0.999999999628456,6.78491518222454e-05,0.000267325658179647,0.0119413556598237,0.0361914933074656,1.61635850758305e-06,2.19601811030249e-06,2.34336267947634e-05,7.2131632477631e-05,0.261532798297594,0.291084526918791,7.7226687799703e-05,0.333501050460707,-6.73881538517862,-0.471823110581767
"4",1.57049512827254e-05,7.36832285673193e-05,0.000126175609558015,7.13572692938273e-05,8.75734632685663e-06,0,0,0,1.01276648780701e-05,"Adipocytes-3-Liver",0.195097725340279,0.325506481698787,0.0244797425766172,0.066061771062926,0.0432273219889278,0.102599788335166,0.00962042925766436,0.0114862094773326,0.00020872893057844,0.000534020770440944,0.0361096186283861,0.0439110794431609,0.000615060850240523,0.0575437487277367,-6.9906781988895,-2.70098708552464
"5",7.48211773860473e-06,1.91264756657152e-05,4.22282575496809e-05,3.03027857020163e-05,1.14847482543183e-05,0,3.30185564287129e-05,4.41080470721078e-06,9.22549912388908e-05,"Adipocytes-4-Liver",0.834275144319935,0.955266669083432,0.0834823347290536,0.170280443353607,0.713862348791247,0.827240486540445,2.8451703388127e-12,5.09544142496456e-12,0.26000078044832,0.371160534408109,1.71224795928744e-07,2.64741470780988e-07,0.365248054137314,5.04547540555796e-07,-2.99805960904677,1.57488989266237
"6",0,0,0,2.30435984883399e-06,0,0,0,0,0.00209664910544754,"Cacna1b positive cells-0-Liver",0.347350545283716,0.514496672337534,0.549873011657997,0.703408982445619,0.999999999169202,0.999999999169202,2.81442956763219e-160,2.52019374919792e-159,0.999999998949115,0.999999998949115,2.55192882863008e-250,2.51364989620063e-249,1,1.1513012244107e-248,0,9.31018684229491
"7",0,0,0,0,0,0,0,0,0.00159655550504105,"Cacna1b positive cells-1-Liver",0.999999999628456,0.999999999628456,0.999999999628456,0.999999999628456,0.999999999169202,0.999999999169202,1.07419736147772e-122,8.13911077735043e-122,0.999999998949115,0.999999998949115,7.81270054244292e-193,6.41292502858857e-192,1,2.71370350699898e-191,0,10.6416503413157
"8",0,0,0,0,0,0,0,0,7.75546225229321e-05,"Cacna1b positive cells-10-Liver",0.999999999628456,0.999999999628456,0.999999999628456,0.999999999628456,0.999999999169202,0.999999999169202,2.56685802769245e-07,3.63792108960729e-07,0.999999998949115,0.999999998949115,9.03222334342695e-11,1.54725912926531e-10,1,3.21409579537178e-10,0,6.29562426785677
"9",0,0,0,0,0,0,0,0,0.00150562939587623,"Cacna1b positive cells-2-Liver",0.999999999628456,0.999999999628456,0.999999999628456,0.999999999628456,0.999999999169202,0.999999999169202,1.04571997398184e-115,6.86689449581411e-115,0.999999998949115,0.999999998949115,8.60950685943411e-182,6.28175130114266e-181,1,2.81602620193991e-180,0,10.5571088678317
"10",0,0,0,3.3065284096921e-06,0,0,0,0,0.00106971893135079,"Cacna1b positive cells-3-Liver",0.890682847097569,0.978809065745149,0.0188744824521641,0.0538126354459969,0.999999999169202,0.999999999169202,1.11280282217817e-82,5.48055389922747e-82,0.999999998949115,0.999999998949115,3.66059289309486e-127,2.18526303012026e-126,1,8.2101869173699e-126,0,7.95783875176063
